04-06 14:48:52:187.0618
04-06 14:48:52.001:187.0618
04-06 14:48:52.002:187.0618
04-06 14:48:52.004:187.0618
04-06 14:48:52.005:187.0618
04-06 14:48:52.006:187.0618
04-06 14:48:52.007:187.0618
04-06 14:48:52.009:187.0618
04-06 14:48:52.01:187.0618
04-06 14:48:52.011:187.0618
04-06 14:48:52.012:187.0618
04-06 14:48:52.013:187.0618
04-06 14:48:52.014:189.26761
04-06 14:48:52.015:189.26761
04-06 14:48:52.017:189.26761
04-06 14:48:52.018:189.26761
04-06 14:48:52.019:189.26761
04-06 14:48:52.02:189.26761
04-06 14:48:52.021:189.26761
04-06 14:48:52.023:189.26761
04-06 14:48:52.024:189.26761
04-06 14:48:52.025:189.26761
04-06 14:48:52.026:189.26761
04-06 14:48:52.028:189.26761
04-06 14:48:52.029:189.26761
04-06 14:48:52.03:189.26761
04-06 14:48:52.031:24257.584
04-06 14:48:52.032:24257.584
04-06 14:48:52.034:24257.584
04-06 14:48:52.035:24257.584
04-06 14:48:52.036:24257.584
04-06 14:48:52.037:24257.584
04-06 14:48:52.038:24257.584
04-06 14:48:52.039:24257.584
04-06 14:48:52.041:24257.584
04-06 14:48:52.042:24257.584
04-06 14:48:52.043:24257.584
04-06 14:48:52.044:24257.584
04-06 14:48:52.045:24257.584
04-06 14:48:52.046:24257.584
04-06 14:48:52.048:24257.584
04-06 14:48:52.049:24257.584
04-06 14:48:52.05:24257.584
04-06 14:48:52.051:24257.584
04-06 14:48:52.052:24257.584
04-06 14:48:52.053:24257.584
04-06 14:48:52.055:24257.584
04-06 14:48:52.056:24257.584
04-06 14:48:52.057:24257.584
04-06 14:48:52.058:24257.584
04-06 14:48:52.059:24257.584
04-06 14:48:52.06:24257.584
04-06 14:48:52.062:24257.584
04-06 14:48:52.063:24257.584
04-06 14:48:52.064:24257.584
04-06 14:48:52.065:24257.584
04-06 14:48:52.067:24257.584
04-06 14:48:52.068:24257.584
04-06 14:48:52.069:24257.584
04-06 14:48:52.071:24257.584
04-06 14:48:52.072:24257.584
04-06 14:48:52.073:24257.584
04-06 14:48:52.074:24257.584
04-06 14:48:52.075:24257.584
04-06 14:48:52.076:24257.584
04-06 14:48:52.077:212.80835
04-06 14:48:52.078:212.80835
04-06 14:48:52.08:212.80835
04-06 14:48:52.081:212.80835
04-06 14:48:52.082:212.80835
04-06 14:48:52.083:212.80835
04-06 14:48:52.084:212.80835
04-06 14:48:52.086:212.80835
04-06 14:48:52.087:212.80835
04-06 14:48:52.088:212.80835
04-06 14:48:52.089:212.80835
04-06 14:48:52.091:212.80835
04-06 14:48:52.092:212.80835
04-06 14:48:52.093:212.80835
04-06 14:48:52.095:212.80835
04-06 14:48:52.096:212.80835
04-06 14:48:52.097:212.80835
04-06 14:48:52.098:212.80835
04-06 14:48:52.099:212.80835
04-06 14:48:52.101:24257.584
04-06 14:48:52.102:24257.584
04-06 14:48:52.103:24257.584
04-06 14:48:52.104:24257.584
04-06 14:48:52.105:24257.584
04-06 14:48:52.107:24257.584
04-06 14:48:52.108:24257.584
04-06 14:48:52.109:24257.584
04-06 14:48:52.11:24257.584
04-06 14:48:52.111:24257.584
04-06 14:48:52.113:24257.584
04-06 14:48:52.114:24257.584
04-06 14:48:52.115:24257.584
04-06 14:48:52.116:210.32819
04-06 14:48:52.119:210.32819
04-06 14:48:52.121:210.32819
04-06 14:48:52.122:210.32819
04-06 14:48:52.123:210.32819
04-06 14:48:52.124:210.32819
04-06 14:48:52.126:210.32819
04-06 14:48:52.127:210.32819
04-06 14:48:52.128:210.32819
04-06 14:48:52.129:210.32819
04-06 14:48:52.13:210.32819
04-06 14:48:52.132:23419.305
04-06 14:48:52.133:23419.305
04-06 14:48:52.135:23419.305
04-06 14:48:52.136:23419.305
04-06 14:48:52.137:23419.305
04-06 14:48:52.138:23419.305
04-06 14:48:52.139:23419.305
04-06 14:48:52.141:23419.305
04-06 14:48:52.142:23419.305
04-06 14:48:52.143:23419.305
04-06 14:48:52.144:23419.305
04-06 14:48:52.146:23419.305
04-06 14:48:52.147:23419.305
04-06 14:48:52.147:225.65494
04-06 14:48:52.149:225.65494
04-06 14:48:52.15:225.65494
04-06 14:48:52.151:225.65494
04-06 14:48:52.152:225.65494
04-06 14:48:52.153:225.65494
04-06 14:48:52.154:225.65494
04-06 14:48:52.156:225.65494
04-06 14:48:52.157:225.65494
04-06 14:48:52.158:225.65494
04-06 14:48:52.159:225.65494
04-06 14:48:52.161:225.65494
04-06 14:48:52.162:225.65494
04-06 14:48:52.163:174.35632
04-06 14:48:52.164:174.35632
04-06 14:48:52.165:174.35632
04-06 14:48:52.166:174.35632
04-06 14:48:52.168:174.35632
04-06 14:48:52.169:174.35632
04-06 14:48:52.17:174.35632
04-06 14:48:52.17:174.35632
04-06 14:48:52.171:174.35632
04-06 14:48:52.173:174.35632
04-06 14:48:52.174:174.35632
04-06 14:48:52.175:174.35632
04-06 14:48:52.176:174.35632
04-06 14:48:52.177:174.35632
04-06 14:48:52.179:212.80835
04-06 14:48:52.18:212.80835
04-06 14:48:52.181:212.80835
04-06 14:48:52.182:212.80835
04-06 14:48:52.183:212.80835
04-06 14:48:52.185:212.80835
04-06 14:48:52.186:212.80835
04-06 14:48:52.187:212.80835
04-06 14:48:52.188:212.80835
04-06 14:48:52.189:212.80835
04-06 14:48:52.191:212.80835
04-06 14:48:52.192:212.80835
04-06 14:48:52.193:212.80835
04-06 14:48:52.194:212.80835
04-06 14:48:52.195:212.80835
04-06 14:48:52.197:212.80835
04-06 14:48:52.201:212.80835
04-06 14:48:52.202:24257.584
04-06 14:48:52.204:24257.584
04-06 14:48:52.205:24257.584
04-06 14:48:52.206:24257.584
04-06 14:48:52.207:24257.584
04-06 14:48:52.208:24257.584
04-06 14:48:52.21:24257.584
04-06 14:48:52.211:24257.584
04-06 14:48:52.212:24257.584
04-06 14:48:52.213:24257.584
04-06 14:48:52.214:24257.584
04-06 14:48:52.216:24257.584
04-06 14:48:52.217:24257.584
04-06 14:48:52.218:24257.584
04-06 14:48:52.219:24257.584
04-06 14:48:52.22:24257.584
04-06 14:48:52.222:24257.584
04-06 14:48:52.223:24257.584
04-06 14:48:52.225:24257.584
04-06 14:48:52.225:212.80835
04-06 14:48:52.227:212.80835
04-06 14:48:52.228:212.80835
04-06 14:48:52.229:212.80835
04-06 14:48:52.23:212.80835
04-06 14:48:52.231:212.80835
04-06 14:48:52.232:212.80835
04-06 14:48:52.234:212.80835
04-06 14:48:52.235:212.80835
04-06 14:48:52.236:212.80835
04-06 14:48:52.237:212.80835
04-06 14:48:52.238:212.80835
04-06 14:48:52.239:212.80835
04-06 14:48:52.241:212.80835
04-06 14:48:52.242:212.80835
04-06 14:48:52.243:212.80835
04-06 14:48:52.243:24833.057
04-06 14:48:52.245:24833.057
04-06 14:48:52.246:24833.057
04-06 14:48:52.247:24833.057
04-06 14:48:52.248:24833.057
04-06 14:48:52.249:24833.057
04-06 14:48:52.251:24833.057
04-06 14:48:52.252:24833.057
04-06 14:48:52.253:24833.057
04-06 14:48:52.254:24833.057
04-06 14:48:52.255:24833.057
04-06 14:48:52.256:24833.057
04-06 14:48:52.258:191.49948
04-06 14:48:52.259:191.49948
04-06 14:48:52.261:191.49948
04-06 14:48:52.262:191.49948
04-06 14:48:52.263:191.49948
04-06 14:48:52.263:191.49948
04-06 14:48:52.264:191.49948
04-06 14:48:52.266:191.49948
04-06 14:48:52.267:191.49948
04-06 14:48:52.268:191.49948
04-06 14:48:52.269:191.49948
04-06 14:48:52.27:191.49948
04-06 14:48:52.272:191.49948
04-06 14:48:52.272:24257.584
04-06 14:48:52.274:24257.584
04-06 14:48:52.275:24257.584
04-06 14:48:52.276:24257.584
04-06 14:48:52.277:24257.584
04-06 14:48:52.278:24257.584
04-06 14:48:52.279:24257.584
04-06 14:48:52.281:24257.584
04-06 14:48:52.282:24257.584
04-06 14:48:52.283:24257.584
04-06 14:48:52.284:24257.584
04-06 14:48:52.285:24257.584
04-06 14:48:52.285:24257.584
04-06 14:48:52.287:24257.584
04-06 14:48:52.288:24257.584
04-06 14:48:52.289:24257.584
04-06 14:48:52.291:24257.584
04-06 14:48:52.292:24257.584
04-06 14:48:52.293:24257.584
04-06 14:48:52.294:24257.584
04-06 14:48:52.295:24257.584
04-06 14:48:52.297:24257.584
04-06 14:48:52.298:24257.584
04-06 14:48:52.299:24257.584
04-06 14:48:52.3:24257.584
04-06 14:48:52.301:24257.584
04-06 14:48:52.302:24257.584
04-06 14:48:52.304:24257.584
04-06 14:48:52.305:24257.584
04-06 14:48:52.306:24257.584
04-06 14:48:52.307:24257.584
04-06 14:48:52.308:24257.584
04-06 14:48:52.31:24257.584
04-06 14:48:52.311:24257.584
04-06 14:48:52.312:24257.584
04-06 14:48:52.313:24257.584
04-06 14:48:52.314:24257.584
04-06 14:48:52.314:24257.584
04-06 14:48:52.315:24257.584
04-06 14:48:52.317:24257.584
04-06 14:48:52.318:24257.584
04-06 14:48:52.319:24257.584
04-06 14:48:52.319:164.43018
04-06 14:48:52.321:164.43018
04-06 14:48:52.322:164.43018
04-06 14:48:52.323:164.43018
04-06 14:48:52.324:164.43018
04-06 14:48:52.325:164.43018
04-06 14:48:52.326:164.43018
04-06 14:48:52.328:164.43018
04-06 14:48:52.329:164.43018
04-06 14:48:52.33:164.43018
04-06 14:48:52.331:164.43018
04-06 14:48:52.332:164.43018
04-06 14:48:52.333:164.43018
04-06 14:48:52.335:198.35414
04-06 14:48:52.336:198.35414
04-06 14:48:52.337:198.35414
04-06 14:48:52.338:198.35414
04-06 14:48:52.34:198.35414
04-06 14:48:52.341:198.35414
04-06 14:48:52.342:198.35414
04-06 14:48:52.343:198.35414
04-06 14:48:52.345:198.35414
04-06 14:48:52.346:198.35414
04-06 14:48:52.347:198.35414
04-06 14:48:52.348:198.35414
04-06 14:48:52.35:198.35414
04-06 14:48:52.352:23974.875
04-06 14:48:52.353:23974.875
04-06 14:48:52.355:23974.875
04-06 14:48:52.356:23974.875
04-06 14:48:52.356:23974.875
04-06 14:48:52.357:23974.875
04-06 14:48:52.359:23974.875
04-06 14:48:52.36:23974.875
04-06 14:48:52.361:23974.875
04-06 14:48:52.363:23974.875
04-06 14:48:52.364:23974.875
04-06 14:48:52.365:23974.875
04-06 14:48:52.366:253.72148
04-06 14:48:52.367:253.72148
04-06 14:48:52.368:253.72148
04-06 14:48:52.37:253.72148
04-06 14:48:52.371:253.72148
04-06 14:48:52.372:253.72148
04-06 14:48:52.373:253.72148
04-06 14:48:52.374:253.72148
04-06 14:48:52.375:253.72148
04-06 14:48:52.377:253.72148
04-06 14:48:52.378:253.72148
04-06 14:48:52.379:253.72148
04-06 14:48:52.379:253.72148
04-06 14:48:52.38:253.72148
04-06 14:48:52.382:166.36911
04-06 14:48:52.383:166.36911
04-06 14:48:52.384:166.36911
04-06 14:48:52.385:166.36911
04-06 14:48:52.386:166.36911
04-06 14:48:52.388:166.36911
04-06 14:48:52.389:166.36911
04-06 14:48:52.39:166.36911
04-06 14:48:52.391:166.36911
04-06 14:48:52.392:166.36911
04-06 14:48:52.393:166.36911
04-06 14:48:52.395:166.36911
04-06 14:48:52.396:166.36911
04-06 14:48:52.397:166.36911
04-06 14:48:52.398:24833.057
04-06 14:48:52.399:24833.057
04-06 14:48:52.401:24833.057
04-06 14:48:52.402:24833.057
04-06 14:48:52.403:24833.057
04-06 14:48:52.404:24833.057
04-06 14:48:52.406:24833.057
04-06 14:48:52.408:24833.057
04-06 14:48:52.409:24833.057
04-06 14:48:52.41:24833.057
04-06 14:48:52.411:24833.057
04-06 14:48:52.412:24833.057
04-06 14:48:52.414:174.35632
04-06 14:48:52.415:174.35632
04-06 14:48:52.417:174.35632
04-06 14:48:52.418:174.35632
04-06 14:48:52.419:174.35632
04-06 14:48:52.42:174.35632
04-06 14:48:52.421:174.35632
04-06 14:48:52.422:174.35632
04-06 14:48:52.423:174.35632
04-06 14:48:52.425:174.35632
04-06 14:48:52.426:174.35632
04-06 14:48:52.427:174.35632
04-06 14:48:52.428:174.35632
04-06 14:48:52.429:210.32819
04-06 14:48:52.43:210.32819
04-06 14:48:52.431:210.32819
04-06 14:48:52.432:210.32819
04-06 14:48:52.434:210.32819
04-06 14:48:52.435:210.32819
04-06 14:48:52.436:210.32819
04-06 14:48:52.437:210.32819
04-06 14:48:52.438:210.32819
04-06 14:48:52.439:210.32819
04-06 14:48:52.441:210.32819
04-06 14:48:52.442:210.32819
04-06 14:48:52.443:210.32819
04-06 14:48:52.444:205.45416
04-06 14:48:52.445:205.45416
04-06 14:48:52.446:205.45416
04-06 14:48:52.448:205.45416
04-06 14:48:52.449:205.45416
04-06 14:48:52.45:205.45416
04-06 14:48:52.451:205.45416
04-06 14:48:52.452:205.45416
04-06 14:48:52.453:205.45416
04-06 14:48:52.455:205.45416
04-06 14:48:52.456:205.45416
04-06 14:48:52.457:205.45416
04-06 14:48:52.458:205.45416
04-06 14:48:52.459:205.45416
04-06 14:48:52.46:23974.875
04-06 14:48:52.461:23974.875
04-06 14:48:52.462:23974.875
04-06 14:48:52.464:23974.875
04-06 14:48:52.465:23974.875
04-06 14:48:52.466:23974.875
04-06 14:48:52.467:23974.875
04-06 14:48:52.468:23974.875
04-06 14:48:52.468:23974.875
04-06 14:48:52.469:23974.875
04-06 14:48:52.471:23974.875
04-06 14:48:52.472:23974.875
04-06 14:48:52.473:23974.875
04-06 14:48:52.474:23974.875
04-06 14:48:52.475:23974.875
04-06 14:48:52.477:205.45416
04-06 14:48:52.478:205.45416
04-06 14:48:52.479:205.45416
04-06 14:48:52.48:205.45416
04-06 14:48:52.481:205.45416
04-06 14:48:52.483:205.45416
04-06 14:48:52.484:205.45416
04-06 14:48:52.485:205.45416
04-06 14:48:52.486:205.45416
04-06 14:48:52.487:205.45416
04-06 14:48:52.488:205.45416
04-06 14:48:52.49:205.45416
04-06 14:48:52.491:205.45416
04-06 14:48:52.491:164.43018
04-06 14:48:52.492:164.43018
04-06 14:48:52.494:164.43018
04-06 14:48:52.495:164.43018
04-06 14:48:52.496:164.43018
04-06 14:48:52.497:164.43018
04-06 14:48:52.498:164.43018
04-06 14:48:52.498:164.43018
04-06 14:48:52.499:164.43018
04-06 14:48:52.501:164.43018
04-06 14:48:52.502:164.43018
04-06 14:48:52.503:164.43018
04-06 14:48:52.504:164.43018
04-06 14:48:52.505:164.43018
04-06 14:48:52.506:164.43018
04-06 14:48:52.508:23146.365
04-06 14:48:52.509:23146.365
04-06 14:48:52.51:23146.365
04-06 14:48:52.511:23146.365
04-06 14:48:52.512:23146.365
04-06 14:48:52.514:23146.365
04-06 14:48:52.515:23146.365
04-06 14:48:52.516:23146.365
04-06 14:48:52.517:23146.365
04-06 14:48:52.518:23146.365
04-06 14:48:52.519:23146.365
04-06 14:48:52.521:23146.365
04-06 14:48:52.522:23146.365
04-06 14:48:52.522:23419.305
04-06 14:48:52.523:23419.305
04-06 14:48:52.525:23419.305
04-06 14:48:52.526:23419.305
04-06 14:48:52.527:23419.305
04-06 14:48:52.528:23419.305
04-06 14:48:52.529:23419.305
04-06 14:48:52.531:23419.305
04-06 14:48:52.532:23419.305
04-06 14:48:52.533:23419.305
04-06 14:48:52.534:23419.305
04-06 14:48:52.535:23419.305
04-06 14:48:52.536:23419.305
04-06 14:48:52.537:23419.305
04-06 14:48:52.539:23419.305
04-06 14:48:52.54:23419.305
04-06 14:48:52.541:23419.305
04-06 14:48:52.542:23419.305
04-06 14:48:52.543:23419.305
04-06 14:48:52.544:23419.305
04-06 14:48:52.546:23419.305
04-06 14:48:52.547:23419.305
04-06 14:48:52.548:23419.305
04-06 14:48:52.549:23419.305
04-06 14:48:52.55:23419.305
04-06 14:48:52.551:23419.305
04-06 14:48:52.553:23419.305
04-06 14:48:52.554:178.4926
