04-06 15:25:48.007:106.56284
04-06 15:25:48.023:8.371587
04-06 15:25:48.038:29262.223
04-06 15:25:48.054:18.148024
04-06 15:25:48.069:28250.994
04-06 15:25:48.085:29607.28
04-06 15:25:48.101:9.412828
04-06 15:25:48.117:4.769013
04-06 15:25:48.132:29607.28
04-06 15:25:48.148:99.32497
04-06 15:25:48.163:7.4455276
04-06 15:25:48.178:29262.223
04-06 15:25:48.194:17.936516
04-06 15:25:48.21:29956.422
04-06 15:25:48.227:30309.664
04-06 15:25:48.257:11.761253
04-06 15:25:48.273:5.5541115
04-06 15:25:48.288:29262.223
04-06 15:25:48.32:10.338322
04-06 15:25:48.336:29956.422
04-06 15:25:48.352:28.333239
04-06 15:25:48.353:6.778999
04-06 15:25:48.366:6.2449207
04-06 15:25:48.368:4.291483
04-06 15:25:48.383:6082.496
04-06 15:25:48.398:31028.695
04-06 15:25:48.413:16.1405
04-06 15:25:48.429:6.3185606
04-06 15:25:48.444:4.143179
04-06 15:25:48.46:31394.582
04-06 15:25:48.491:25.49618
04-06 15:25:48.507:6.544732
04-06 15:25:48.523:4.291483
04-06 15:25:48.538:32139.367
04-06 15:25:48.57:37.539276
04-06 15:25:48.586:7.188226
04-06 15:25:48.602:31028.695
04-06 15:25:48.617:11.091682
04-06 15:25:48.632:5.4254045
04-06 15:25:48.648:31394.582
04-06 15:25:48.663:31764.8
04-06 15:25:48.695:17.114851
04-06 15:25:48.71:6.02911
04-06 15:25:48.726:4.192035
04-06 15:25:48.756:33289.777
04-06 15:25:48.798:128.54807
04-06 15:25:48.812:33289.777
04-06 15:25:48.827:217.85681
04-06 15:25:48.843:8.371587
04-06 15:25:48.859:32901.8
04-06 15:25:48.874:19.019289
04-06 15:25:48.893:6.1002054
04-06 15:25:48.907:31764.8
04-06 15:25:48.922:32139.367
04-06 15:25:48.925:12.325897
04-06 15:25:48.937:9.749759
04-06 15:25:48.952:32901.8
04-06 15:25:48.977:125.56918
04-06 15:25:48.993:34079.523
04-06 15:25:49.038:11.899942
04-06 15:25:49.055:5.4254045
04-06 15:25:49.07:32139.367
04-06 15:25:49.086:32518.35
04-06 15:25:49.109:9.523825
04-06 15:25:49.124:35299.38
04-06 15:25:49.139:10.217833
04-06 15:25:49.155:5.2379146
04-06 15:25:49.171:32139.367
04-06 15:25:49.195:524.8241
04-06 15:25:49.211:5.958843
04-06 15:25:49.215:4.094892
04-06 15:25:49.226:32901.8
04-06 15:25:49.272:27.354107
04-06 15:25:49.288:6.544732
04-06 15:25:49.303:4.342088
04-06 15:25:49.319:34079.523
04-06 15:25:49.351:44.75632
04-06 15:25:49.366:7.2729897
04-06 15:25:49.383:34481.383
04-06 15:25:49.398:11.761253
04-06 15:25:49.413:5.2379146
04-06 15:25:49.429:32901.8
04-06 15:25:49.484:14.187745
04-06 15:25:49.499:4.497512
04-06 15:25:49.515:4.241468
04-06 15:25:49.518:31394.582
04-06 15:25:49.53:31764.8
04-06 15:25:49.578:13.85897
04-06 15:25:49.593:31764.8
04-06 15:25:49.609:112.99572
04-06 15:25:49.624:7.988088
04-06 15:25:49.64:33289.777
04-06 15:25:49.655:16.915384
04-06 15:25:49.671:5.958843
04-06 15:25:49.688:4.094892
04-06 15:25:49.703:32901.8
04-06 15:25:49.718:11.354812
04-06 15:25:49.734:30309.664
04-06 15:25:49.749:81.37807
04-06 15:25:49.765:7.8029785
04-06 15:25:49.78:31394.582
04-06 15:25:49.811:33.386703
04-06 15:25:49.827:6.858937
04-06 15:25:49.842:4.39329
04-06 15:25:49.858:31028.695
04-06 15:25:49.874:22.411531
04-06 15:25:49.891:29956.422
04-06 15:25:49.907:3192.0083
04-06 15:25:49.921:8.371587
04-06 15:25:49.937:4.9397187
04-06 15:25:49.96:31394.582
04-06 15:25:49.984:16.1405
04-06 15:25:50:4.769013
04-06 15:25:50.015:29262.223
04-06 15:25:50.03:29607.28
04-06 15:25:50.062:9.523825
04-06 15:25:50.078:5.056904
04-06 15:25:50.093:29607.28
04-06 15:25:50.109:29956.422
04-06 15:25:50.14:11.091682
04-06 15:25:50.155:30309.664
04-06 15:25:50.171:42.70606
04-06 15:25:50.187:7.188226
04-06 15:25:50.202:4.39329
04-06 15:25:50.218:30309.664
04-06 15:25:50.249:100.49619
04-06 15:25:50.265:7.894991
04-06 15:25:50.283:4.6042066
04-06 15:25:50.299:4.291483
04-06 15:25:50.312:29262.223
04-06 15:25:50.343:29607.28
04-06 15:25:50.358:13.069975
04-06 15:25:50.374:29262.223
04-06 15:25:50.39:86.29061
04-06 15:25:50.407:7.8029785
04-06 15:25:50.421:30309.664
04-06 15:25:50.437:15.221618
04-06 15:25:50.452:5.6858716
04-06 15:25:50.469:29262.223
