03-30 12:32:12.93:10308.3125:1
03-30 12:32:12.931:10308.3125:1
03-30 12:32:12.932:10308.3125:1
03-30 12:32:12.934:10308.3125:1
03-30 12:32:12.935:10308.3125:1
03-30 12:32:12.936:10308.3125:1
03-30 12:32:12.937:10308.3125:1
03-30 12:32:12.938:10308.3125:1
03-30 12:32:12.939:10308.3125:1
03-30 12:32:12.94:10308.3125:1
03-30 12:32:12.942:10308.3125:1
03-30 12:32:12.943:10308.3125:1
03-30 12:32:12.944:10308.3125:1
03-30 12:32:12.945:10308.3125:1
03-30 12:32:12.946:10308.3125:1
03-30 12:32:12.947:10308.3125:1
03-30 12:32:12.948:10308.3125:1
03-30 12:32:12.949:10308.3125:1
03-30 12:32:12.95:10308.3125:1
03-30 12:32:12.952:10308.3125:1
03-30 12:32:12.953:10308.3125:1
03-30 12:32:12.954:10308.3125:1
03-30 12:32:12.955:25.199036:0
03-30 12:32:12.955:25.199036:0
03-30 12:32:12.956:25.199036:0
03-30 12:32:12.957:25.199036:0
03-30 12:32:12.959:25.199036:0
03-30 12:32:12.96:25.199036:0
03-30 12:32:12.961:25.199036:0
03-30 12:32:12.962:309.67645:0
03-30 12:32:12.963:309.67645:0
03-30 12:32:12.964:309.67645:0
03-30 12:32:12.965:309.67645:0
03-30 12:32:12.966:309.67645:0
03-30 12:32:12.967:309.67645:0
03-30 12:32:12.969:309.67645:0
03-30 12:32:12.97:309.67645:0
03-30 12:32:12.971:309.67645:0
03-30 12:32:12.972:309.67645:0
03-30 12:32:12.973:309.67645:0
03-30 12:32:12.974:309.67645:0
03-30 12:32:12.975:309.67645:0
03-30 12:32:12.977:309.67645:0
03-30 12:32:12.977:10308.3125:1
03-30 12:32:12.978:10308.3125:1
03-30 12:32:12.98:10308.3125:1
03-30 12:32:12.981:10308.3125:1
03-30 12:32:12.982:10308.3125:1
03-30 12:32:12.983:10308.3125:1
03-30 12:32:12.984:10308.3125:1
03-30 12:32:12.985:10308.3125:1
03-30 12:32:12.986:10308.3125:1
03-30 12:32:12.988:10308.3125:1
03-30 12:32:12.989:10308.3125:1
03-30 12:32:12.99:10308.3125:1
03-30 12:32:12.991:10308.3125:1
03-30 12:32:12.992:10308.3125:1
03-30 12:32:12.993:10308.3125:1
03-30 12:32:12.995:10308.3125:1
03-30 12:32:12.996:10308.3125:1
03-30 12:32:12.997:10308.3125:1
03-30 12:32:12.998:10308.3125:1
03-30 12:32:12.999:10308.3125:1
03-30 12:32:13.001:10308.3125:1
03-30 12:32:13.002:10308.3125:1
03-30 12:32:13.003:10308.3125:1
03-30 12:32:13.004:10308.3125:1
03-30 12:32:13.005:10308.3125:1
03-30 12:32:13.006:10308.3125:1
03-30 12:32:13.007:10308.3125:1
03-30 12:32:13.008:20.889313:0
03-30 12:32:13.01:20.889313:0
03-30 12:32:13.011:20.889313:0
03-30 12:32:13.012:20.889313:0
03-30 12:32:13.012:20.889313:0
03-30 12:32:13.013:20.889313:0
03-30 12:32:13.014:20.889313:0
03-30 12:32:13.016:20.889313:0
03-30 12:32:13.017:20.889313:0
03-30 12:32:13.018:20.889313:0
03-30 12:32:13.019:20.889313:0
03-30 12:32:13.02:20.889313:0
03-30 12:32:13.021:20.889313:0
03-30 12:32:13.023:20.889313:0
03-30 12:32:13.024:51.516846:0
03-30 12:32:13.025:51.516846:0
03-30 12:32:13.026:51.516846:0
03-30 12:32:13.027:51.516846:0
03-30 12:32:13.028:51.516846:0
03-30 12:32:13.029:51.516846:0
03-30 12:32:13.031:51.516846:0
03-30 12:32:13.032:51.516846:0
03-30 12:32:13.033:51.516846:0
03-30 12:32:13.034:51.516846:0
03-30 12:32:13.035:51.516846:0
03-30 12:32:13.036:51.516846:0
03-30 12:32:13.038:51.516846:0
03-30 12:32:13.039:51.516846:0
03-30 12:32:13.04:10308.3125:1
03-30 12:32:13.041:10308.3125:1
03-30 12:32:13.042:10308.3125:1
03-30 12:32:13.043:10308.3125:1
03-30 12:32:13.044:10308.3125:1
03-30 12:32:13.046:10308.3125:1
03-30 12:32:13.047:10308.3125:1
03-30 12:32:13.048:10308.3125:1
03-30 12:32:13.049:10308.3125:1
03-30 12:32:13.05:10308.3125:1
03-30 12:32:13.051:10308.3125:1
03-30 12:32:13.052:10308.3125:1
03-30 12:32:13.054:10308.3125:1
03-30 12:32:13.055:10308.3125:1
03-30 12:32:13.056:10308.3125:1
03-30 12:32:13.057:10308.3125:1
03-30 12:32:13.058:10308.3125:1
03-30 12:32:13.059:10308.3125:1
03-30 12:32:13.061:10308.3125:1
03-30 12:32:13.062:10308.3125:1
03-30 12:32:13.063:10308.3125:1
03-30 12:32:13.064:10308.3125:1
03-30 12:32:13.065:10308.3125:1
03-30 12:32:13.067:10308.3125:1
03-30 12:32:13.068:10308.3125:1
03-30 12:32:13.069:10308.3125:1
03-30 12:32:13.07:10308.3125:1
03-30 12:32:13.072:15.40111:0
03-30 12:32:13.073:15.40111:0
03-30 12:32:13.074:15.40111:0
03-30 12:32:13.075:15.40111:0
03-30 12:32:13.077:15.40111:0
03-30 12:32:13.078:15.40111:0
03-30 12:32:13.079:15.40111:0
03-30 12:32:13.08:15.40111:0
03-30 12:32:13.08:15.40111:0
03-30 12:32:13.081:15.40111:0
03-30 12:32:13.082:15.40111:0
03-30 12:32:13.084:15.40111:0
03-30 12:32:13.085:15.40111:0
03-30 12:32:13.086:15.40111:0
03-30 12:32:13.087:28.333239:0
03-30 12:32:13.088:28.333239:0
03-30 12:32:13.089:28.333239:0
03-30 12:32:13.09:28.333239:0
03-30 12:32:13.091:28.333239:0
03-30 12:32:13.092:28.333239:0
03-30 12:32:13.094:28.333239:0
03-30 12:32:13.095:28.333239:0
03-30 12:32:13.096:28.333239:0
03-30 12:32:13.097:28.333239:0
03-30 12:32:13.098:28.333239:0
03-30 12:32:13.099:28.333239:0
03-30 12:32:13.1:28.333239:0
03-30 12:32:13.102:28.333239:0
03-30 12:32:13.102:156.89767:0
03-30 12:32:13.103:156.89767:0
03-30 12:32:13.104:156.89767:0
03-30 12:32:13.106:156.89767:0
03-30 12:32:13.107:156.89767:0
03-30 12:32:13.108:156.89767:0
03-30 12:32:13.109:156.89767:0
03-30 12:32:13.11:156.89767:0
03-30 12:32:13.111:156.89767:0
03-30 12:32:13.113:156.89767:0
03-30 12:32:13.114:156.89767:0
03-30 12:32:13.115:156.89767:0
03-30 12:32:13.116:156.89767:0
03-30 12:32:13.117:9952.077:1
03-30 12:32:13.119:9952.077:1
03-30 12:32:13.12:9952.077:1
03-30 12:32:13.121:9952.077:1
03-30 12:32:13.122:9952.077:1
03-30 12:32:13.123:9952.077:1
03-30 12:32:13.124:9952.077:1
03-30 12:32:13.126:9952.077:1
03-30 12:32:13.127:9952.077:1
03-30 12:32:13.128:9952.077:1
03-30 12:32:13.129:9952.077:1
03-30 12:32:13.13:9952.077:1
03-30 12:32:13.131:9952.077:1
03-30 12:32:13.133:9952.077:1
03-30 12:32:13.133:10069.432:1
03-30 12:32:13.135:10069.432:1
03-30 12:32:13.136:10069.432:1
03-30 12:32:13.137:10069.432:1
03-30 12:32:13.138:10069.432:1
03-30 12:32:13.139:10069.432:1
03-30 12:32:13.14:10069.432:1
03-30 12:32:13.142:10069.432:1
03-30 12:32:13.143:10069.432:1
03-30 12:32:13.144:10069.432:1
03-30 12:32:13.145:10069.432:1
03-30 12:32:13.146:10069.432:1
03-30 12:32:13.147:10069.432:1
03-30 12:32:13.149:18.362024:0
03-30 12:32:13.15:18.362024:0
03-30 12:32:13.151:18.362024:0
03-30 12:32:13.152:18.362024:0
03-30 12:32:13.153:18.362024:0
03-30 12:32:13.154:18.362024:0
03-30 12:32:13.156:18.362024:0
03-30 12:32:13.157:18.362024:0
03-30 12:32:13.158:18.362024:0
03-30 12:32:13.159:18.362024:0
03-30 12:32:13.16:18.362024:0
03-30 12:32:13.161:18.362024:0
03-30 12:32:13.163:18.362024:0
03-30 12:32:13.164:18.362024:0
03-30 12:32:13.164:49.156876:0
03-30 12:32:13.166:49.156876:0
03-30 12:32:13.167:49.156876:0
03-30 12:32:13.168:49.156876:0
03-30 12:32:13.169:49.156876:0
03-30 12:32:13.17:49.156876:0
03-30 12:32:13.171:49.156876:0
03-30 12:32:13.173:49.156876:0
03-30 12:32:13.174:49.156876:0
03-30 12:32:13.175:49.156876:0
03-30 12:32:13.176:49.156876:0
03-30 12:32:13.177:49.156876:0
03-30 12:32:13.178:49.156876:0
03-30 12:32:13.18:49.156876:0
03-30 12:32:13.181:10069.432:1
03-30 12:32:13.182:10069.432:1
03-30 12:32:13.183:10069.432:1
03-30 12:32:13.185:10069.432:1
03-30 12:32:13.186:10069.432:1
03-30 12:32:13.187:10069.432:1
03-30 12:32:13.188:10069.432:1
03-30 12:32:13.189:10069.432:1
03-30 12:32:13.19:10069.432:1
03-30 12:32:13.191:10069.432:1
03-30 12:32:13.193:10069.432:1
03-30 12:32:13.194:10069.432:1
03-30 12:32:13.195:10069.432:1
03-30 12:32:13.196:10069.432:1
03-30 12:32:13.197:10069.432:1
03-30 12:32:13.199:10069.432:1
03-30 12:32:13.2:10069.432:1
03-30 12:32:13.201:10069.432:1
03-30 12:32:13.202:10069.432:1
03-30 12:32:13.203:10069.432:1
03-30 12:32:13.204:10069.432:1
03-30 12:32:13.205:10069.432:1
03-30 12:32:13.207:10069.432:1
03-30 12:32:13.208:10069.432:1
03-30 12:32:13.209:10069.432:1
03-30 12:32:13.21:10069.432:1
03-30 12:32:13.213:14.695591:0
03-30 12:32:13.214:14.695591:0
03-30 12:32:13.215:14.695591:0
03-30 12:32:13.216:14.695591:0
03-30 12:32:13.217:14.695591:0
03-30 12:32:13.219:14.695591:0
03-30 12:32:13.22:14.695591:0
03-30 12:32:13.221:14.695591:0
03-30 12:32:13.222:14.695591:0
03-30 12:32:13.223:14.695591:0
03-30 12:32:13.224:14.695591:0
03-30 12:32:13.226:14.695591:0
03-30 12:32:13.227:14.695591:0
03-30 12:32:13.228:28.667345:0
03-30 12:32:13.229:28.667345:0
03-30 12:32:13.23:28.667345:0
03-30 12:32:13.232:28.667345:0
03-30 12:32:13.233:28.667345:0
03-30 12:32:13.234:28.667345:0
03-30 12:32:13.235:28.667345:0
03-30 12:32:13.236:28.667345:0
03-30 12:32:13.237:28.667345:0
03-30 12:32:13.239:28.667345:0
03-30 12:32:13.24:28.667345:0
03-30 12:32:13.241:28.667345:0
03-30 12:32:13.242:28.667345:0
03-30 12:32:13.244:180.59735:0
03-30 12:32:13.245:180.59735:0
03-30 12:32:13.246:180.59735:0
03-30 12:32:13.247:180.59735:0
03-30 12:32:13.248:180.59735:0
03-30 12:32:13.249:180.59735:0
03-30 12:32:13.251:180.59735:0
03-30 12:32:13.252:180.59735:0
03-30 12:32:13.253:180.59735:0
03-30 12:32:13.254:180.59735:0
03-30 12:32:13.254:180.59735:0
03-30 12:32:13.255:180.59735:0
03-30 12:32:13.256:180.59735:0
03-30 12:32:13.258:180.59735:0
03-30 12:32:13.258:10069.432:1
03-30 12:32:13.259:10069.432:1
03-30 12:32:13.26:10069.432:1
03-30 12:32:13.262:10069.432:1
03-30 12:32:13.263:10069.432:1
03-30 12:32:13.264:10069.432:1
03-30 12:32:13.265:10069.432:1
03-30 12:32:13.267:10069.432:1
03-30 12:32:13.268:10069.432:1
03-30 12:32:13.269:10069.432:1
03-30 12:32:13.27:10069.432:1
03-30 12:32:13.271:10069.432:1
03-30 12:32:13.273:10069.432:1
