04-07 19:33:50.587:4.241468:0
04-07 19:33:50.588:10429.866:1
04-07 19:33:50.59:10429.866:1
04-07 19:33:50.592:10429.866:1
04-07 19:33:50.593:10429.866:1
04-07 19:33:50.594:10429.866:1
04-07 19:33:50.595:10429.866:1
04-07 19:33:50.595:10429.866:1
04-07 19:33:50.596:10429.866:1
04-07 19:33:50.598:10429.866:1
04-07 19:33:50.599:10429.866:1
04-07 19:33:50.6:10429.866:1
04-07 19:33:50.601:10429.866:1
04-07 19:33:50.602:10429.866:1
04-07 19:33:50.604:10429.866:1
04-07 19:33:50.605:10429.866:1
04-07 19:33:50.606:10429.866:1
04-07 19:33:50.607:10429.866:1
04-07 19:33:50.608:10429.866:1
04-07 19:33:50.609:10429.866:1
04-07 19:33:50.611:10429.866:1
04-07 19:33:50.612:10429.866:1
04-07 19:33:50.613:10429.866:1
04-07 19:33:50.614:10429.866:1
04-07 19:33:50.615:10429.866:1
04-07 19:33:50.616:10429.866:1
04-07 19:33:50.618:10429.866:1
04-07 19:33:50.619:16.915384:0
04-07 19:33:50.62:16.915384:0
04-07 19:33:50.621:16.915384:0
04-07 19:33:50.622:16.915384:0
04-07 19:33:50.623:16.915384:0
04-07 19:33:50.624:16.915384:0
04-07 19:33:50.626:16.915384:0
04-07 19:33:50.627:16.915384:0
04-07 19:33:50.628:16.915384:0
04-07 19:33:50.629:16.915384:0
04-07 19:33:50.63:16.915384:0
04-07 19:33:50.632:16.915384:0
04-07 19:33:50.633:16.915384:0
04-07 19:33:50.634:16.915384:0
04-07 19:33:50.634:10552.8545:1
04-07 19:33:50.636:10552.8545:1
04-07 19:33:50.637:10552.8545:1
04-07 19:33:50.638:10552.8545:1
04-07 19:33:50.639:10552.8545:1
04-07 19:33:50.64:10552.8545:1
04-07 19:33:50.641:10552.8545:1
04-07 19:33:50.643:10552.8545:1
04-07 19:33:50.644:10552.8545:1
04-07 19:33:50.645:10552.8545:1
04-07 19:33:50.646:10552.8545:1
04-07 19:33:50.647:10552.8545:1
04-07 19:33:50.649:10552.8545:1
04-07 19:33:50.65:42.208332:0
04-07 19:33:50.651:42.208332:0
04-07 19:33:50.652:42.208332:0
04-07 19:33:50.653:42.208332:0
04-07 19:33:50.655:42.208332:0
04-07 19:33:50.656:42.208332:0
04-07 19:33:50.657:42.208332:0
04-07 19:33:50.658:42.208332:0
04-07 19:33:50.659:42.208332:0
04-07 19:33:50.66:42.208332:0
04-07 19:33:50.662:42.208332:0
04-07 19:33:50.663:42.208332:0
04-07 19:33:50.664:42.208332:0
04-07 19:33:50.665:42.208332:0
04-07 19:33:50.666:10552.8545:1
04-07 19:33:50.667:10552.8545:1
04-07 19:33:50.668:10552.8545:1
04-07 19:33:50.669:10552.8545:1
04-07 19:33:50.67:10552.8545:1
04-07 19:33:50.672:10552.8545:1
04-07 19:33:50.673:10552.8545:1
04-07 19:33:50.674:10552.8545:1
04-07 19:33:50.675:10552.8545:1
04-07 19:33:50.676:10552.8545:1
04-07 19:33:50.678:10552.8545:1
04-07 19:33:50.679:10552.8545:1
04-07 19:33:50.68:10552.8545:1
04-07 19:33:50.681:10552.8545:1
04-07 19:33:50.682:10552.8545:1
04-07 19:33:50.684:10552.8545:1
04-07 19:33:50.685:10552.8545:1
04-07 19:33:50.686:10552.8545:1
04-07 19:33:50.687:10552.8545:1
04-07 19:33:50.688:10552.8545:1
04-07 19:33:50.688:10552.8545:1
04-07 19:33:50.689:10552.8545:1
04-07 19:33:50.691:10552.8545:1
04-07 19:33:50.692:10552.8545:1
04-07 19:33:50.693:10552.8545:1
04-07 19:33:50.694:10552.8545:1
04-07 19:33:50.695:10552.8545:1
04-07 19:33:50.697:10552.8545:1
04-07 19:33:50.698:9.981052:0
04-07 19:33:50.699:9.981052:0
04-07 19:33:50.701:9.981052:0
04-07 19:33:50.702:9.981052:0
04-07 19:33:50.703:9.981052:0
04-07 19:33:50.704:9.981052:0
04-07 19:33:50.705:9.981052:0
04-07 19:33:50.706:9.981052:0
04-07 19:33:50.708:9.981052:0
04-07 19:33:50.709:9.981052:0
04-07 19:33:50.71:9.981052:0
04-07 19:33:50.711:9.981052:0
04-07 19:33:50.712:4.497512:0
04-07 19:33:50.714:4.497512:0
04-07 19:33:50.715:4.497512:0
04-07 19:33:50.716:4.497512:0
04-07 19:33:50.717:4.497512:0
04-07 19:33:50.718:4.497512:0
04-07 19:33:50.719:4.497512:0
04-07 19:33:50.721:4.497512:0
04-07 19:33:50.722:4.497512:0
04-07 19:33:50.723:4.497512:0
04-07 19:33:50.724:4.497512:0
04-07 19:33:50.725:4.497512:0
04-07 19:33:50.725:4.497512:0
04-07 19:33:50.726:4.497512:0
04-07 19:33:50.728:4.497512:0
04-07 19:33:50.729:10069.432:1
04-07 19:33:50.73:10069.432:1
04-07 19:33:50.731:10069.432:1
04-07 19:33:50.732:10069.432:1
04-07 19:33:50.733:10069.432:1
04-07 19:33:50.735:10069.432:1
04-07 19:33:50.736:10069.432:1
04-07 19:33:50.737:10069.432:1
04-07 19:33:50.738:10069.432:1
04-07 19:33:50.739:10069.432:1
04-07 19:33:50.74:10069.432:1
04-07 19:33:50.742:10069.432:1
04-07 19:33:50.743:10069.432:1
04-07 19:33:50.744:23.487482:0
04-07 19:33:50.745:23.487482:0
04-07 19:33:50.746:23.487482:0
04-07 19:33:50.747:23.487482:0
04-07 19:33:50.748:23.487482:0
04-07 19:33:50.749:23.487482:0
04-07 19:33:50.751:23.487482:0
04-07 19:33:50.752:23.487482:0
04-07 19:33:50.753:23.487482:0
04-07 19:33:50.754:23.487482:0
04-07 19:33:50.755:23.487482:0
04-07 19:33:50.756:23.487482:0
04-07 19:33:50.758:23.487482:0
04-07 19:33:50.761:10069.432:1
04-07 19:33:50.762:10069.432:1
04-07 19:33:50.763:10069.432:1
04-07 19:33:50.764:10069.432:1
04-07 19:33:50.765:10069.432:1
04-07 19:33:50.767:10069.432:1
04-07 19:33:50.768:10069.432:1
04-07 19:33:50.769:10069.432:1
04-07 19:33:50.77:10069.432:1
04-07 19:33:50.771:10069.432:1
04-07 19:33:50.772:10069.432:1
04-07 19:33:50.774:10069.432:1
04-07 19:33:50.775:281.954:0
04-07 19:33:50.776:281.954:0
04-07 19:33:50.777:281.954:0
04-07 19:33:50.779:281.954:0
04-07 19:33:50.78:281.954:0
04-07 19:33:50.781:281.954:0
04-07 19:33:50.782:281.954:0
04-07 19:33:50.784:281.954:0
04-07 19:33:50.785:281.954:0
04-07 19:33:50.786:281.954:0
04-07 19:33:50.787:281.954:0
04-07 19:33:50.788:281.954:0
04-07 19:33:50.788:281.954:0
04-07 19:33:50.789:281.954:0
04-07 19:33:50.791:281.954:0
04-07 19:33:50.792:281.954:0
04-07 19:33:50.793:281.954:0
04-07 19:33:50.794:281.954:0
04-07 19:33:50.795:281.954:0
04-07 19:33:50.797:281.954:0
04-07 19:33:50.798:281.954:0
04-07 19:33:50.799:8.17759:0
04-07 19:33:50.8:8.17759:0
04-07 19:33:50.801:8.17759:0
04-07 19:33:50.802:8.17759:0
04-07 19:33:50.803:8.17759:0
04-07 19:33:50.804:8.17759:0
04-07 19:33:50.806:8.17759:0
04-07 19:33:50.807:8.17759:0
04-07 19:33:50.808:8.17759:0
04-07 19:33:50.809:8.17759:0
04-07 19:33:50.81:8.17759:0
04-07 19:33:50.812:8.17759:0
04-07 19:33:50.813:8.17759:0
04-07 19:33:50.814:10677.292:1
04-07 19:33:50.815:10677.292:1
04-07 19:33:50.816:10677.292:1
04-07 19:33:50.817:10677.292:1
04-07 19:33:50.819:10677.292:1
04-07 19:33:50.82:10677.292:1
04-07 19:33:50.821:10677.292:1
04-07 19:33:50.822:10677.292:1
04-07 19:33:50.823:10677.292:1
04-07 19:33:50.824:10677.292:1
04-07 19:33:50.826:10677.292:1
04-07 19:33:50.827:10677.292:1
04-07 19:33:50.828:10677.292:1
04-07 19:33:50.829:10677.292:1
04-07 19:33:50.83:244.95343:0
04-07 19:33:50.831:244.95343:0
04-07 19:33:50.833:244.95343:0
04-07 19:33:50.834:244.95343:0
04-07 19:33:50.835:244.95343:0
04-07 19:33:50.836:244.95343:0
04-07 19:33:50.837:244.95343:0
04-07 19:33:50.839:244.95343:0
04-07 19:33:50.84:244.95343:0
04-07 19:33:50.841:244.95343:0
04-07 19:33:50.842:244.95343:0
04-07 19:33:50.843:244.95343:0
04-07 19:33:50.843:244.95343:0
04-07 19:33:50.844:244.95343:0
04-07 19:33:50.845:7.712038:0
04-07 19:33:50.847:7.712038:0
04-07 19:33:50.848:7.712038:0
04-07 19:33:50.849:7.712038:0
04-07 19:33:50.85:7.712038:0
04-07 19:33:50.851:7.712038:0
04-07 19:33:50.853:7.712038:0
04-07 19:33:50.854:7.712038:0
04-07 19:33:50.855:7.712038:0
04-07 19:33:50.856:7.712038:0
04-07 19:33:50.857:7.712038:0
04-07 19:33:50.858:7.712038:0
04-07 19:33:50.86:7.712038:0
04-07 19:33:50.861:4.342088:0
04-07 19:33:50.862:4.342088:0
04-07 19:33:50.863:4.342088:0
04-07 19:33:50.864:4.342088:0
04-07 19:33:50.866:4.342088:0
04-07 19:33:50.867:4.342088:0
04-07 19:33:50.868:4.342088:0
04-07 19:33:50.869:4.342088:0
04-07 19:33:50.87:4.342088:0
04-07 19:33:50.871:4.342088:0
04-07 19:33:50.873:4.342088:0
04-07 19:33:50.874:4.342088:0
04-07 19:33:50.875:4.342088:0
04-07 19:33:50.876:4.342088:0
04-07 19:33:50.877:10552.8545:1
04-07 19:33:50.878:10552.8545:1
04-07 19:33:50.879:10552.8545:1
04-07 19:33:50.88:10552.8545:1
04-07 19:33:50.88:10552.8545:1
04-07 19:33:50.881:10552.8545:1
04-07 19:33:50.883:10552.8545:1
04-07 19:33:50.884:10552.8545:1
04-07 19:33:50.885:10552.8545:1
04-07 19:33:50.886:10552.8545:1
04-07 19:33:50.887:10552.8545:1
04-07 19:33:50.889:10552.8545:1
04-07 19:33:50.89:10552.8545:1
04-07 19:33:50.891:10552.8545:1
04-07 19:33:50.892:15.952388:0
04-07 19:33:50.893:15.952388:0
04-07 19:33:50.894:15.952388:0
04-07 19:33:50.896:15.952388:0
04-07 19:33:50.897:15.952388:0
04-07 19:33:50.898:15.952388:0
04-07 19:33:50.899:15.952388:0
04-07 19:33:50.9:15.952388:0
04-07 19:33:50.901:15.952388:0
04-07 19:33:50.903:15.952388:0
04-07 19:33:50.904:15.952388:0
04-07 19:33:50.905:15.952388:0
04-07 19:33:50.906:15.952388:0
04-07 19:33:50.907:15.952388:0
04-07 19:33:50.909:10069.432:1
04-07 19:33:50.91:10069.432:1
04-07 19:33:50.911:10069.432:1
04-07 19:33:50.913:10069.432:1
04-07 19:33:50.914:10069.432:1
04-07 19:33:50.915:10069.432:1
04-07 19:33:50.916:10069.432:1
04-07 19:33:50.917:10069.432:1
04-07 19:33:50.918:10069.432:1
04-07 19:33:50.92:10069.432:1
04-07 19:33:50.921:10069.432:1
04-07 19:33:50.922:10069.432:1
04-07 19:33:50.923:40.74971:0
04-07 19:33:50.924:40.74971:0
04-07 19:33:50.926:40.74971:0
04-07 19:33:50.927:40.74971:0
04-07 19:33:50.928:40.74971:0
04-07 19:33:50.929:40.74971:0
04-07 19:33:50.93:40.74971:0
04-07 19:33:50.932:40.74971:0
04-07 19:33:50.933:40.74971:0
04-07 19:33:50.934:40.74971:0
04-07 19:33:50.935:40.74971:0
04-07 19:33:50.936:40.74971:0
04-07 19:33:50.937:40.74971:0
04-07 19:33:50.939:40.74971:0
04-07 19:33:50.94:6.544732:0
04-07 19:33:50.941:6.544732:0
04-07 19:33:50.943:6.544732:0
04-07 19:33:50.944:6.544732:0
04-07 19:33:50.945:6.544732:0
04-07 19:33:50.946:6.544732:0
04-07 19:33:50.947:6.544732:0
04-07 19:33:50.949:6.544732:0
04-07 19:33:50.95:6.544732:0
04-07 19:33:50.951:6.544732:0
04-07 19:33:50.952:6.544732:0
04-07 19:33:50.952:6.544732:0
04-07 19:33:50.953:6.544732:0
04-07 19:33:50.955:4.094892:0
04-07 19:33:50.956:4.094892:0
04-07 19:33:50.957:4.094892:0
04-07 19:33:50.958:4.094892:0
